episode: 197, episode length: 500, reward: 87.655548252416
episode: 198, episode length: 44, reward: -92.70300595389985
episode: 199, episode length: 500, reward: 12.639697701636125
episode: 200, episode length: 500, reward: -21.574383287599883
episode: 201, episode length: 235, reward: -93.34588238632587
episode: 202, episode length: 500, reward: 92.85243140834324
episode: 203, episode length: 361, reward: -74.40572069546309
episode: 204, episode length: 100, reward: -65.47306322721533
episode: 205, episode length: 500, reward: 60.94634991072859
episode: 206, episode length: 500, reward: 40.44802119337955
episode: 207, episode length: 500, reward: 41.22543711171677
episode: 208, episode length: 500, reward: 96.8024634417169
episode: 209, episode length: 175, reward: -37.94196916087475
episode: 210, episode length: 500, reward: 83.60432960151732
episode: 211, episode length: 500, reward: 69.51993515472486
episode: 212, episode length: 53, reward: -60.31721330996476
episode: 213, episode length: 487, reward: 151.65270858067842
episode: 214, episode length: 500, reward: 127.95445961719632
episode: 215, episode length: 500, reward: 20.30749460396969
episode: 216, episode length: 500, reward: 78.3735050731592
episode: 217, episode length: 500, reward: 109.25657164771394
episode: 218, episode length: 119, reward: -55.02332619586643
episode: 219, episode length: 500, reward: 100.77672386021851
episode: 220, episode length: 500, reward: 211.85020895847964
episode: 221, episode length: 500, reward: 189.2181824864836
episode: 222, episode length: 143, reward: -32.244306155113435
episode: 223, episode length: 142, reward: -66.80485479067436
episode: 224, episode length: 500, reward: 131.91584651572296
episode: 225, episode length: 500, reward: 8.621414296851267
episode: 226, episode length: 500, reward: 30.948582567800404
episode: 227, episode length: 20, reward: -80.00879107024188
episode: 228, episode length: 302, reward: 30.317295879132615
episode: 229, episode length: 453, reward: 84.49377765044852
episode: 230, episode length: 500, reward: 50.75499720984573
episode: 231, episode length: 68, reward: -83.5061144299314
episode: 232, episode length: 500, reward: 194.845705121069
episode: 233, episode length: 500, reward: 78.3385299322544
episode: 234, episode length: 500, reward: 6.7255047128888386
episode: 235, episode length: 500, reward: 51.58836439160965
episode: 236, episode length: 500, reward: 217.58356286277572
episode: 237, episode length: 500, reward: 44.50520428965287
episode: 238, episode length: 500, reward: 46.78735423396197
episode: 239, episode length: 500, reward: 80.34376074675652
episode: 240, episode length: 500, reward: 107.14426897801026
episode: 241, episode length: 500, reward: 138.5697968550398
episode: 242, episode length: 500, reward: -28.4828878724347
episode: 243, episode length: 500, reward: 111.30390394240366
episode: 244, episode length: 500, reward: 64.36012326378211
episode: 245, episode length: 500, reward: 77.67529094934915
episode: 246, episode length: 500, reward: 62.37553135544649
episode: 247, episode length: 500, reward: 129.09419664454623
episode: 248, episode length: 500, reward: 28.306890169299248
episode: 249, episode length: 141, reward: -0.3522508538653426
episode: 250, episode length: 500, reward: 102.6277990948706
episode: 251, episode length: 500, reward: 108.90935533678937
episode: 252, episode length: 500, reward: 24.892640466010203
episode: 253, episode length: 180, reward: 20.143318428429694
episode: 254, episode length: 78, reward: -83.46323193186484
episode: 255, episode length: 500, reward: 241.40374829870728
episode: 256, episode length: 500, reward: 57.11250188639843
episode: 257, episode length: 500, reward: 100.15269317563576
episode: 258, episode length: 500, reward: 52.206217047093546
episode: 259, episode length: 500, reward: 132.28202734018623
episode: 260, episode length: 500, reward: 43.81483049083877
episode: 261, episode length: 500, reward: 43.25300138729223
episode: 262, episode length: 500, reward: 112.29680194478479
episode: 263, episode length: 500, reward: 58.85591554895632
